Preferred_Name	Name	Source
ER3413_4519	ER3413_4519	Ensembl Gene ID
ER3413_4519	AIZ54182	Ensembl Protein ID
ER3413_4519	thrL	Gene Name
ER3413_4519	b0001	RefSeq Protein ID
ER3413_1	ER3413_1	Ensembl Gene ID
ER3413_1	AIZ50783	Ensembl Protein ID
ER3413_1	thrA	Gene Name
ER3413_1	b0002	RefSeq Protein ID
ER3413_2	ER3413_2	Ensembl Gene ID
ER3413_2	AIZ51761	Ensembl Protein ID
ER3413_2	thrB	Gene Name
ER3413_2	b0003	RefSeq Protein ID
ER3413_3	ER3413_3	Ensembl Gene ID
ER3413_3	AIZ52710	Ensembl Protein ID
ER3413_3	thrC	Gene Name
ER3413_3	b0004	RefSeq Protein ID
ER3413_4	ER3413_4	Ensembl Gene ID
ER3413_4	AIZ53685	Ensembl Protein ID
ER3413_4	yaaX	Gene Name
ER3413_4	b0005	RefSeq Protein ID
ER3413_5	ER3413_5	Ensembl Gene ID
ER3413_5	AIZ54341	Ensembl Protein ID
ER3413_5	yaaA	Gene Name
ER3413_5	b0006	RefSeq Protein ID
ER3413_6	ER3413_6	Ensembl Gene ID
ER3413_6	AIZ54434	Ensembl Protein ID
ER3413_6	yaaJ	Gene Name
ER3413_6	b0007	RefSeq Protein ID
ER3413_7	ER3413_7	Ensembl Gene ID
ER3413_7	AIZ54528	Ensembl Protein ID
ER3413_7	talB	Gene Name
ER3413_7	b0008	RefSeq Protein ID
ER3413_8	ER3413_8	Ensembl Gene ID
ER3413_8	AIZ54621	Ensembl Protein ID
ER3413_8	mog	Gene Name
ER3413_8	b0009	RefSeq Protein ID
ER3413_9	ER3413_9	Ensembl Gene ID
ER3413_9	AIZ54730	Ensembl Protein ID
ER3413_9	yaaH	Gene Name
ER3413_9	b0010	RefSeq Protein ID
ER3413_10	ER3413_10	Ensembl Gene ID
ER3413_10	AIZ50784	Ensembl Protein ID
ER3413_10	yaaW	Gene Name
ER3413_10	b0011	RefSeq Protein ID
ER3413_11	ER3413_11	Ensembl Gene ID
ER3413_11	AIZ50883	Ensembl Protein ID
ER3413_11	yaaI	Gene Name
ER3413_11	b0013	RefSeq Protein ID
ER3413_12	ER3413_12	Ensembl Gene ID
ER3413_12	AIZ50983	Ensembl Protein ID
ER3413_12	dnaK	Gene Name
ER3413_12	b0014	RefSeq Protein ID
ER3413_13	ER3413_13	Ensembl Gene ID
ER3413_13	AIZ51081	Ensembl Protein ID
ER3413_13	dnaJ	Gene Name
ER3413_13	b0015	RefSeq Protein ID
ER3413_590	ER3413_14	Ensembl Gene ID
ER3413_590	ER3413_2475	Ensembl Gene ID
ER3413_590	ER3413_590	Ensembl Gene ID
ER3413_590	AIZ51172	Ensembl Protein ID
ER3413_590	AIZ52214	Ensembl Protein ID
ER3413_590	AIZ54426	Ensembl Protein ID
ER3413_590	insL1	Gene Name
ER3413_590	b0582	RefSeq Protein ID
