,genes,gene_names
11,ER3413_3361_ECOLI,rrlD
12,ER3413_2671_ECOLI,rrlG
13,ER3413_3967_ECOLI,rrlA
14,ER3413_4138_ECOLI,rrlE
15,ER3413_4094_ECOLI,rrlB
16,ER3413_208_ECOLI,rrlH
17,ER3413_3872_ECOLI,rrlC
18,ER3413_4091_ECOLI,rrsB
19,ER3413_204_ECOLI,rrsH
20,ER3413_3962_ECOLI,rrsA
21,ER3413_3869_ECOLI,rrsC
22,ER3413_4134_ECOLI,rrsE
23,ER3413_3365_ECOLI,rrsD
24,ER3413_2674_ECOLI,rrsG
132,ER3413_2477_ECOLI,alaX
133,ER3413_1055_ECOLI,serX
134,ER3413_902_ECOLI,serW
137,ER3413_3358_ECOLI,rrfF
138,ER3413_210_ECOLI,aspU
139,ER3413_3874_ECOLI,aspT
141,ER3413_4103_ECOLI,thrT
143,ER3413_4639_ECOLI,tff
145,ER3413_2483_ECOLI,valU
164,ER3413_4633_ECOLI,ssrA
168,ER3413_759_ECOLI,lysT
174,ER3413_685_ECOLI,metT
175,ER3413_220_ECOLI,aspV
302,ER3413_2901_ECOLI,metZ
304,ER3413_4135_ECOLI,gltV
305,ER3413_4092_ECOLI,gltT
306,ER3413_2673_ECOLI,gltW
307,ER3413_3870_ECOLI,gltU
308,ER3413_2771_ECOLI,serV
317,ER3413_4477_ECOLI,leuP
319,ER3413_2478_ECOLI,alaW
323,ER3413_3964_ECOLI,alaT
324,ER3413_3363_ECOLI,alaU
325,ER3413_206_ECOLI,alaV
355,ER3413_4309_ECOLI,glyV
401,ER3413_3909_ECOLI,hisR
464,ER3413_3963_ECOLI,ileT
465,ER3413_3364_ECOLI,ileU
466,ER3413_205_ECOLI,ileV
659,ER3413_3873_ECOLI,rrfC
660,ER3413_3360_ECOLI,rrfD
661,ER3413_2670_ECOLI,rrfG
662,ER3413_209_ECOLI,rrfH
666,ER3413_680_ECOLI,glnV
669,ER3413_994_ECOLI,serT
711,ER3413_4478_ECOLI,leuQ
712,ER3413_3769_ECOLI,selC
713,ER3413_3359_ECOLI,thrV
716,ER3413_2484_ECOLI,valX
717,ER3413_2485_ECOLI,valY
718,ER3413_765_ECOLI,lysQ
721,ER3413_4310_ECOLI,glyX
725,ER3413_4095_ECOLI,rrfB
726,ER3413_4139_ECOLI,rrfE
729,ER3413_2770_ECOLI,argV
730,ER3413_2769_ECOLI,argY
731,ER3413_2767_ECOLI,argQ
732,ER3413_2768_ECOLI,argZ
736,ER3413_3968_ECOLI,rrfA
737,ER3413_3648_ECOLI,proK
747,ER3413_762_ECOLI,valZ
749,ER3413_683_ECOLI,glnU
750,ER3413_682_ECOLI,glnW
752,ER3413_4635_ECOLI,rnpB
785,ER3413_546_ECOLI,argU
795,ER3413_1707_ECOLI,valW
823,ER3413_763_ECOLI,lysY
824,ER3413_761_ECOLI,lysW
840,ER3413_4476_ECOLI,leuV
959,ER3413_3910_ECOLI,leuT
1112,ER3413_4637_ECOLI,csrB
1188,ER3413_2486_ECOLI,lysV
1190,ER3413_248_ECOLI,thrW
1191,ER3413_2261_ECOLI,proL
1196,ER3413_1706_ECOLI,valV
1198,ER3413_1963_ECOLI,cysT
1211,ER3413_2038_ECOLI,serU
1222,ER3413_4634_ECOLI,ssrS
1303,ER3413_4661_ECOLI,gcvB
1309,ER3413_2902_ECOLI,metW
1316,ER3413_4100_ECOLI,thrU
